category,target,pool,grain_size,window_size,stride,hop,augmentation,mfcc_l2,fad
percussion,tribal.wav,amen_mono_24k.wav,1,1,3,2,none,219.3357,405.8732
percussion,tribal.wav,tabla.wav,1,1,3,2,none,212.7785,72.5957
percussion,tribal.wav,trap.mp3,1,1,3,2,none,80.2429,474.4111
percussion,amen_mono_24k.wav,tabla.wav,1,1,3,2,augmented,265.6916,109.8308
percussion,amen_mono_24k.wav,trap.mp3,1,1,3,2,augmented,63.7301,423.4588
percussion,amen_mono_24k.wav,tribal.wav,1,1,3,2,augmented,103.4285,227.3103
percussion,tabla.wav,amen_mono_24k.wav,1,1,3,2,augmented,260.3387,542.4741
percussion,tabla.wav,trap.mp3,1,1,3,2,augmented,112.7607,600.1920
percussion,tabla.wav,tribal.wav,1,1,3,2,augmented,152.0027,322.2674
percussion,trap.mp3,amen_mono_24k.wav,1,1,3,2,augmented,205.0691,362.4667
percussion,trap.mp3,tabla.wav,1,1,3,2,augmented,215.8083,73.2788
percussion,trap.mp3,tribal.wav,1,1,3,2,augmented,111.8833,238.4568
percussion,tribal.wav,amen_mono_24k.wav,1,1,3,2,augmented,224.6951,401.6111
percussion,tribal.wav,tabla.wav,1,1,3,2,augmented,219.8675,77.1566
percussion,tribal.wav,trap.mp3,1,1,3,2,augmented,78.9701,470.4804
percussion,amen_mono_24k.wav,tabla.wav,1,1,3,3,none,272.3048,120.3941
percussion,amen_mono_24k.wav,trap.mp3,1,1,3,3,none,69.7048,436.8813
percussion,amen_mono_24k.wav,tribal.wav,1,1,3,3,none,87.6708,224.3512
percussion,tabla.wav,amen_mono_24k.wav,1,1,3,3,none,251.9292,530.7600
percussion,tabla.wav,trap.mp3,1,1,3,3,none,112.4838,599.0266
percussion,tabla.wav,tribal.wav,1,1,3,3,none,145.6800,323.1090
percussion,trap.mp3,amen_mono_24k.wav,1,1,3,3,none,207.7000,382.4281
percussion,trap.mp3,tabla.wav,1,1,3,3,none,213.2109,73.1585
percussion,trap.mp3,tribal.wav,1,1,3,3,none,112.4443,246.6378
percussion,tribal.wav,amen_mono_24k.wav,1,1,3,3,none,220.1090,404.3531
percussion,tribal.wav,tabla.wav,1,1,3,3,none,217.9680,75.8538
percussion,tribal.wav,trap.mp3,1,1,3,3,none,81.6486,481.2871
percussion,amen_mono_24k.wav,tabla.wav,1,1,3,3,augmented,270.4484,113.3450
percussion,amen_mono_24k.wav,trap.mp3,1,1,3,3,augmented,63.1065,421.4950
percussion,amen_mono_24k.wav,tribal.wav,1,1,3,3,augmented,99.4610,229.9376
percussion,tabla.wav,amen_mono_24k.wav,1,1,3,3,augmented,247.1315,507.9335
percussion,tabla.wav,trap.mp3,1,1,3,3,augmented,111.9881,603.0855
percussion,tabla.wav,tribal.wav,1,1,3,3,augmented,148.7693,321.0845
percussion,trap.mp3,amen_mono_24k.wav,1,1,3,3,augmented,199.7721,350.7117
percussion,trap.mp3,tabla.wav,1,1,3,3,augmented,216.6905,72.8869
percussion,trap.mp3,tribal.wav,1,1,3,3,augmented,110.9352,239.5164
percussion,tribal.wav,amen_mono_24k.wav,1,1,3,3,augmented,217.4472,388.9276
percussion,tribal.wav,tabla.wav,1,1,3,3,augmented,219.1709,76.2665
percussion,tribal.wav,trap.mp3,1,1,3,3,augmented,77.5148,467.3967
percussion,amen_mono_24k.wav,tabla.wav,1,2,1,1,none,228.8781,150.1614
percussion,amen_mono_24k.wav,trap.mp3,1,2,1,1,none,132.2719,270.3258
percussion,amen_mono_24k.wav,tribal.wav,1,2,1,1,none,121.3103,77.9310
percussion,tabla.wav,amen_mono_24k.wav,1,2,1,1,none,184.5981,374.5351
percussion,tabla.wav,trap.mp3,1,2,1,1,none,289.1959,696.5579
percussion,tabla.wav,tribal.wav,1,2,1,1,none,210.5464,204.3640
percussion,trap.mp3,amen_mono_24k.wav,1,2,1,1,none,68.0912,71.9283
percussion,trap.mp3,tabla.wav,1,2,1,1,none,114.4577,37.0072
percussion,trap.mp3,tribal.wav,1,2,1,1,none,45.5383,42.9190
percussion,tribal.wav,amen_mono_24k.wav,1,2,1,1,none,108.1923,123.7950
percussion,tribal.wav,tabla.wav,1,2,1,1,none,148.6974,62.9677
percussion,tribal.wav,trap.mp3,1,2,1,1,none,87.9679,279.8935
percussion,amen_mono_24k.wav,tabla.wav,1,2,1,1,augmented,359.3094,311.7766
percussion,amen_mono_24k.wav,trap.mp3,1,2,1,1,augmented,133.4145,256.2036
percussion,amen_mono_24k.wav,tribal.wav,1,2,1,1,augmented,147.8367,100.2310
percussion,tabla.wav,amen_mono_24k.wav,1,2,1,1,augmented,220.6734,357.7640
percussion,tabla.wav,trap.mp3,1,2,1,1,augmented,278.1601,596.7367
percussion,tabla.wav,tribal.wav,1,2,1,1,augmented,219.9211,238.8478
percussion,trap.mp3,amen_mono_24k.wav,1,2,1,1,augmented,88.8247,88.2368
percussion,trap.mp3,tabla.wav,1,2,1,1,augmented,164.2223,69.4476
percussion,trap.mp3,tribal.wav,1,2,1,1,augmented,53.5566,60.4523
percussion,tribal.wav,amen_mono_24k.wav,1,2,1,1,augmented,127.9074,121.5013
percussion,tribal.wav,tabla.wav,1,2,1,1,augmented,204.4991,108.4625
percussion,tribal.wav,trap.mp3,1,2,1,1,augmented,73.4511,227.4915
percussion,amen_mono_24k.wav,tabla.wav,1,2,1,2,none,258.7484,212.9814
percussion,amen_mono_24k.wav,trap.mp3,1,2,1,2,none,127.9545,274.4559
percussion,amen_mono_24k.wav,tribal.wav,1,2,1,2,none,122.6874,84.8741
percussion,tabla.wav,amen_mono_24k.wav,1,2,1,2,none,236.5985,369.8684
percussion,tabla.wav,trap.mp3,1,2,1,2,none,279.4146,695.4330
percussion,tabla.wav,tribal.wav,1,2,1,2,none,184.0959,173.5692
percussion,trap.mp3,amen_mono_24k.wav,1,2,1,2,none,65.6671,73.6293
percussion,trap.mp3,tabla.wav,1,2,1,2,none,107.6174,37.5871
percussion,trap.mp3,tribal.wav,1,2,1,2,none,39.9903,41.7652
percussion,tribal.wav,amen_mono_24k.wav,1,2,1,2,none,105.7848,131.5265
percussion,tribal.wav,tabla.wav,1,2,1,2,none,143.0685,66.1406
percussion,tribal.wav,trap.mp3,1,2,1,2,none,99.7740,271.7890
percussion,amen_mono_24k.wav,tabla.wav,1,2,1,2,augmented,343.5179,370.0109
percussion,amen_mono_24k.wav,trap.mp3,1,2,1,2,augmented,138.4129,268.2811
percussion,amen_mono_24k.wav,tribal.wav,1,2,1,2,augmented,152.7639,108.7002
percussion,tabla.wav,amen_mono_24k.wav,1,2,1,2,augmented,266.6060,415.5017
percussion,tabla.wav,trap.mp3,1,2,1,2,augmented,283.6026,597.5772
percussion,tabla.wav,tribal.wav,1,2,1,2,augmented,215.2577,217.4091
percussion,trap.mp3,amen_mono_24k.wav,1,2,1,2,augmented,97.5872,102.4221
percussion,trap.mp3,tabla.wav,1,2,1,2,augmented,147.8884,59.5754
percussion,trap.mp3,tribal.wav,1,2,1,2,augmented,49.2131,57.7686
percussion,tribal.wav,amen_mono_24k.wav,1,2,1,2,augmented,133.7670,127.8656
percussion,tribal.wav,tabla.wav,1,2,1,2,augmented,191.6541,99.9442
percussion,tribal.wav,trap.mp3,1,2,1,2,augmented,77.9745,231.6547
percussion,amen_mono_24k.wav,tabla.wav,1,2,1,3,none,246.1297,190.7750
percussion,amen_mono_24k.wav,trap.mp3,1,2,1,3,none,118.4697,270.5126
percussion,amen_mono_24k.wav,tribal.wav,1,2,1,3,none,115.4623,80.4547
percussion,tabla.wav,amen_mono_24k.wav,1,2,1,3,none,233.4685,362.1296
percussion,tabla.wav,trap.mp3,1,2,1,3,none,293.1116,707.2925
percussion,tabla.wav,tribal.wav,1,2,1,3,none,196.3520,161.8165
percussion,trap.mp3,amen_mono_24k.wav,1,2,1,3,none,76.3961,77.2796
percussion,trap.mp3,tabla.wav,1,2,1,3,none,111.7759,42.5528
percussion,trap.mp3,tribal.wav,1,2,1,3,none,35.6721,38.2631
percussion,tribal.wav,amen_mono_24k.wav,1,2,1,3,none,103.6571,122.1809
percussion,tribal.wav,tabla.wav,1,2,1,3,none,157.1568,75.1958
percussion,tribal.wav,trap.mp3,1,2,1,3,none,90.5271,294.5132
percussion,amen_mono_24k.wav,tabla.wav,1,2,1,3,augmented,376.1765,350.6202
percussion,amen_mono_24k.wav,trap.mp3,1,2,1,3,augmented,143.0861,279.2547
percussion,amen_mono_24k.wav,tribal.wav,1,2,1,3,augmented,149.7249,105.9230
percussion,tabla.wav,amen_mono_24k.wav,1,2,1,3,augmented,197.5662,344.0681
percussion,tabla.wav,trap.mp3,1,2,1,3,augmented,286.4015,594.8571
percussion,tabla.wav,tribal.wav,1,2,1,3,augmented,204.6266,203.0963
percussion,trap.mp3,amen_mono_24k.wav,1,2,1,3,augmented,85.7394,87.7712
percussion,trap.mp3,tabla.wav,1,2,1,3,augmented,154.3514,61.8759
percussion,trap.mp3,tribal.wav,1,2,1,3,augmented,43.6226,45.7108
percussion,tribal.wav,amen_mono_24k.wav,1,2,1,3,augmented,116.9434,121.5092
